,89,90
vn136_inda,1.0,1.0
vn136_indb,1.0,1.0
vn136_indc,0.0,0.0
vn136_indd,-0.0,-0.0
vn137,0.0,0.0
vn137_ind,-0.0,-0.0
vn137_inda,1.0,1.0
vn137_indb,1.0,1.0
vn137_indc,0.0,0.0
vn137_indd,-0.0,-0.0
vn138,0.0,0.0
vn138_ind,-0.0,-0.0
vn138_inda,1.0,1.0
vn138_indb,1.0,1.0
vn138_indc,0.0,0.0
vn138_indd,-0.0,-0.0
vn139,0.0,0.0
vn139_ind,-0.0,-0.0
vn139_inda,1.0,1.0
vn139_indb,1.0,1.0
vn139_indc,0.0,0.0
vn139_indd,-0.0,-0.0
vn13_ind,0.0,0.0
vn13_inda,1.0,1.0
vn13_indb,1.0,1.0
vn13_indc,0.0,0.0
vn13_indd,0.0,0.0
vn14,0.0,0.0
vn140,0.0,0.0
vn140_ind,-0.0,-0.0
vn140_inda,1.0,1.0
vn140_indb,1.0,1.0
vn140_indc,0.0,0.0
vn140_indd,-0.0,-0.0
vn141,0.0,0.0
vn141_ind,-0.0,-0.0
vn141_inda,1.0,1.0
vn141_indb,1.0,1.0
vn141_indc,0.0,0.0
vn141_indd,-0.0,-0.0
vn142,0.0,0.0
vn142_ind,-0.0,-0.0
vn142_inda,1.0,1.0
vn142_indb,1.0,1.0
vn142_indc,0.0,0.0
vn142_indd,-0.0,-0.0
vn143,0.0,0.0
vn143_ind,-0.0,-0.0
vn143_inda,1.0,1.0
vn143_indb,1.0,1.0
vn143_indc,0.0,0.0
vn143_indd,-0.0,-0.0
vn144,0.0,0.0
vn144_ind,-0.0,-0.0
vn144_inda,1.0,1.0
vn144_indb,1.0,1.0
vn144_indc,0.0,0.0
vn144_indd,-0.0,-0.0
vn145,0.0,0.0
vn145_ind,-0.0,-0.0
vn145_inda,1.0,1.0
vn145_indb,1.0,1.0
vn145_indc,0.0,0.0
vn145_indd,-0.0,-0.0
vn146,0.0,0.0
vn146_ind,-0.0,-0.0
vn146_inda,1.0,1.0
vn146_indb,1.0,1.0
vn146_indc,0.0,0.0
vn146_indd,-0.0,-0.0
vn147,0.0,0.0
vn147_ind,-0.0,-0.0
vn147_inda,1.0,1.0
vn147_indb,1.0,1.0
vn147_indc,0.0,0.0
vn147_indd,-0.0,-0.0
vn148,0.0,0.0
vn148_ind,-0.0,-0.0
vn148_inda,1.0,1.0
vn148_indb,1.0,1.0
vn148_indc,0.0,0.0
vn148_indd,-0.0,-0.0
vn149,0.0,0.0
vn149_ind,-0.0,-0.0
vn149_inda,1.0,1.0
vn149_indb,1.0,1.0
vn149_indc,0.0,0.0
vn149_indd,-0.0,-0.0
vn14_ind,0.0,0.0
vn14_inda,1.0,1.0
vn14_indb,1.0,1.0
vn14_indc,0.0,0.0
vn14_indd,0.0,0.0
vn15,0.0,0.0
vn150,0.0,1.0
vn150_ind,-0.0,1.0
vn150_inda,1.0,0.0
vn150_indb,1.0,0.0
vn150_indc,0.0,1.0
vn150_indd,-0.0,1.0
vn151,0.0,0.0
vn151_ind,-0.0,-0.0
vn151_inda,1.0,1.0
vn151_indb,1.0,1.0
vn151_indc,0.0,0.0
vn151_indd,-0.0,-0.0
vn152,0.0,0.0
vn152_ind,-0.0,-0.0
vn152_inda,1.0,1.0
vn152_indb,1.0,1.0
vn152_indc,0.0,0.0
vn152_indd,-0.0,-0.0
vn153,0.0,0.0
vn153_ind,-0.0,-0.0
vn153_inda,1.0,1.0
vn153_indb,1.0,1.0
vn153_indc,0.0,0.0
vn153_indd,-0.0,-0.0
vn154,0.0,0.0
vn154_ind,-0.0,-0.0
vn154_inda,1.0,1.0
vn154_indb,1.0,1.0
vn154_indc,0.0,0.0
vn154_indd,-0.0,-0.0
vn155,0.0,0.0
vn155_ind,-0.0,-0.0
vn155_inda,1.0,1.0
